2021,34,13.12,14.41,1.35,1.62,-0.26,1.30,1.48,-0.17,-0.09,0.97,1.25
2013,34,12.65,12.88,1.35,1.44,-0.09,1.32,1.32,0.00,-0.09,1.29,1.40
2017,34,14.15,11.03,1.41,1.41,0.00,1.46,1.13,0.33,-0.33,1.35,1.58
2019,34,13.82,12.74,1.50,1.35,0.15,1.45,1.39,0.06,0.09,1.41,1.42
2022,33,11.70,12.36,1.33,1.09,0.24,1.20,1.32,-0.13,0.37,1.52,1.28
2020,22,12.64,15.45,1.27,1.09,0.18,1.26,1.35,-0.08,0.27,1.55,1.30
2014,34,11.15,14.18,1.53,1.24,0.29,1.35,1.28,0.06,0.23,1.59,1.48
2018,34,14.21,12.97,1.47,1.26,0.21,1.52,1.31,0.21,0.00,1.68,1.53
2015,34,11.74,11.32,1.50,1.12,0.38,1.31,1.21,0.10,0.28,1.76,1.41
2016,34,13.26,9.74,1.44,1.12,0.32,1.35,1.01,0.33,-0.01,1.76,1.63
2021,34,12.53,13.18,1.00,1.50,-0.50,1.17,1.37,-0.21,-0.29,0.88,1.21
2020,23,14.30,14.78,1.30,1.70,-0.39,1.50,1.53,-0.03,-0.36,0.91,1.38
2016,34,12.47,13.06,1.12,1.32,-0.21,1.13,1.43,-0.31,0.10,1.00,1.13
2022,33,11.64,14.55,1.27,1.55,-0.27,1.28,1.58,-0.30,0.03,1.09,1.16
2018,34,13.94,12.15,1.71,1.65,0.06,1.63,1.43,0.20,-0.14,1.12,1.49
2014,34,13.24,14.15,1.09,1.68,-0.59,1.39,1.72,-0.33,-0.25,1.15,1.14
2019,34,13.38,14.29,1.32,1.74,-0.41,1.46,1.54,-0.08,-0.33,1.18,1.37
2015,34,11.06,11.00,1.24,1.38,-0.15,1.04,1.20,-0.15,0.01,1.24,1.23
2017,34,13.79,12.85,1.62,1.29,0.32,1.53,1.30,0.24,0.08,1.47,1.51
2013,34,13.88,12.59,1.18,1.15,0.03,1.38,1.27,0.11,-0.08,1.50,1.45
2021,34,15.32,10.47,1.50,1.50,0.00,1.71,1.08,0.63,-0.63,1.32,1.76
2020,22,16.27,10.73,2.05,1.64,0.41,1.83,1.34,0.49,-0.08,1.45,1.68
2018,34,15.50,12.62,1.91,1.53,0.38,1.73,1.39,0.35,0.03,1.68,1.63
2022,33,15.21,11.03,1.97,1.06,0.91,1.74,1.05,0.69,0.22,2.03,1.85
2019,34,18.26,10.15,2.47,1.00,1.47,2.39,1.10,1.29,0.18,2.12,2.15
2017,34,11.74,14.85,1.24,1.94,-0.71,1.16,1.62,-0.46,-0.24,0.94,1.12
2020,22,11.32,13.82,1.18,2.09,-0.91,1.33,1.50,-0.17,-0.74,1.00,1.27
2018,34,12.50,15.35,1.94,1.79,0.15,1.52,1.68,-0.16,0.31,1.41,1.31
2021,34,12.74,14.32,1.38,1.53,-0.15,1.42,1.41,0.01,-0.16,1.41,1.35
2022,33,13.76,11.73,1.64,1.52,0.12,1.54,1.38,0.16,-0.04,1.42,1.49
2015,34,11.94,11.62,1.65,1.35,0.29,1.33,1.23,0.10,0.20,1.50,1.40
2019,34,13.82,16.71,1.71,1.65,0.06,1.78,1.79,-0.01,0.07,1.50,1.39
2016,34,10.53,15.38,1.53,1.12,0.41,1.40,1.37,0.03,0.39,1.53,1.41
2013,34,14.38,9.59,1.53,1.12,0.41,1.61,0.84,0.78,-0.36,1.56,1.84
2014,34,15.94,10.26,1.97,1.03,0.94,1.79,0.91,0.88,0.06,1.79,1.93
2020,23,13.00,10.04,1.04,1.48,-0.43,1.26,1.23,0.03,-0.47,1.04,1.38
2021,34,9.59,12.79,1.03,1.50,-0.47,0.98,1.41,-0.44,-0.03,1.21,1.10
2022,32,11.28,13.88,1.31,1.59,-0.28,1.27,1.41,-0.14,-0.14,1.41,1.23
2017,34,9.94,16.56,1.32,1.97,-0.65,1.16,1.92,-0.76,0.12,1.06,0.93
2018,34,11.06,16.18,1.41,2.06,-0.65,1.30,1.73,-0.43,-0.22,1.06,1.14
2022,33,12.24,14.00,1.33,1.42,-0.09,1.32,1.43,-0.11,0.02,1.36,1.35
2021,34,14.97,12.03,1.21,1.24,-0.03,1.46,1.19,0.27,-0.30,1.44,1.60
2019,34,13.74,14.44,1.47,1.26,0.21,1.61,1.38,0.24,-0.03,1.56,1.53
2020,21,13.90,14.14,1.57,1.19,0.38,1.43,1.51,-0.07,0.45,1.62,1.33
2014,34,11.56,13.47,1.12,1.68,-0.56,1.23,1.43,-0.20,-0.36,0.82,1.21
2020,23,10.78,14.48,1.43,1.83,-0.39,1.23,1.64,-0.40,0.01,1.13,1.08
2017,34,12.32,13.88,1.53,1.68,-0.15,1.21,1.49,-0.28,0.13,1.15,1.19
2019,34,11.50,11.06,1.29,1.74,-0.44,1.27,1.47,-0.19,-0.25,1.21,1.26
2016,34,12.94,13.62,1.44,1.56,-0.12,1.31,1.32,-0.01,-0.11,1.32,1.32
2021,34,11.65,12.12,1.32,1.24,0.09,1.33,1.15,0.18,-0.10,1.35,1.52
2018,34,12.47,12.94,1.32,1.47,-0.15,1.30,1.44,-0.14,0.00,1.35,1.34
2013,34,12.29,14.56,1.47,1.41,0.06,1.32,1.33,-0.01,0.06,1.44,1.37
2015,34,12.76,12.50,1.41,1.29,0.12,1.29,1.21,0.08,0.04,1.50,1.39
2022,33,12.58,9.24,1.76,1.45,0.30,1.48,1.05,0.43,-0.12,1.88,1.63
2018,34,14.29,12.82,1.41,1.53,-0.12,1.35,1.65,-0.29,0.17,1.21,1.20
2016,34,13.97,13.15,1.21,1.59,-0.38,1.37,1.60,-0.23,-0.16,1.24,1.25
2022,33,12.88,14.15,1.39,1.42,-0.03,1.26,1.58,-0.32,0.29,1.24,1.20
2017,34,12.76,12.29,1.56,1.79,-0.24,1.48,1.33,0.15,-0.39,1.32,1.48
2019,34,13.38,14.82,1.44,1.68,-0.24,1.54,1.85,-0.32,0.08,1.32,1.25
2020,23,14.83,10.70,1.09,1.00,0.09,1.45,1.14,0.31,-0.22,1.39,1.60
2015,34,11.41,11.62,1.38,1.38,0.00,1.31,1.33,-0.03,0.03,1.47,1.33
2013,34,11.71,12.32,1.41,1.06,0.35,1.23,1.08,0.15,0.20,1.50,1.47
2014,34,13.76,12.74,1.44,1.32,0.12,1.29,1.33,-0.04,0.16,1.62,1.35
2021,34,14.56,14.18,1.82,1.18,0.65,1.62,1.32,0.30,0.35,2.15,1.57
2020,23,11.87,11.48,1.04,0.96,0.09,1.01,1.09,-0.09,0.17,1.39,1.32
2022,33,13.15,12.36,1.55,1.24,0.30,1.55,1.14,0.41,-0.11,1.42,1.67
2021,34,13.35,11.24,1.59,0.91,0.68,1.36,1.04,0.32,0.36,1.59,1.58
2015,34,13.12,14.82,1.41,1.71,-0.29,1.30,1.85,-0.55,0.25,1.09,1.03
2021,34,15.18,9.50,1.62,1.03,0.59,1.61,0.99,0.61,-0.02,1.50,1.77
2022,33,14.15,10.55,1.64,1.15,0.48,1.70,1.13,0.57,-0.09,1.58,1.68
2016,34,13.62,13.38,1.82,1.62,0.21,1.47,1.55,-0.08,0.28,1.59,1.37
2018,34,15.68,12.35,1.68,1.29,0.38,1.64,1.27,0.37,0.01,1.65,1.61
2017,34,14.24,12.38,1.65,1.26,0.38,1.56,1.22,0.34,0.04,1.68,1.62
2020,23,15.48,11.13,1.57,1.09,0.48,1.60,1.16,0.44,0.04,1.70,1.67
2019,34,15.18,11.56,1.85,1.15,0.71,1.66,1.31,0.36,0.35,1.88,1.60
2020,23,10.65,11.30,1.26,1.30,-0.04,1.12,1.45,-0.32,0.28,1.39,1.15
2021,34,14.56,9.26,1.15,0.97,0.18,1.37,1.07,0.30,-0.13,1.41,1.60
2019,34,13.15,12.65,1.47,1.44,0.03,1.49,1.50,-0.01,0.04,1.41,1.32
2014,34,11.82,13.62,1.62,1.47,0.15,1.54,1.44,0.10,0.05,1.47,1.44
2017,34,13.24,11.47,1.47,1.35,0.12,1.51,1.31,0.21,-0.09,1.47,1.50
2022,33,13.30,8.91,1.39,1.24,0.15,1.42,1.13,0.29,-0.14,1.52,1.57
2016,34,12.97,11.74,1.74,1.26,0.47,1.55,1.27,0.27,0.20,1.68,1.53
2013,34,11.88,13.32,1.65,1.15,0.50,1.37,1.38,-0.01,0.51,1.74,1.35
2015,34,14.00,11.74,1.82,1.24,0.59,1.78,1.13,0.66,-0.07,1.76,1.81
2018,34,13.41,11.09,1.79,0.94,0.85,1.75,1.25,0.50,0.36,2.09,1.73
2018,34,12.94,14.21,1.21,2.12,-0.91,1.35,1.88,-0.53,-0.39,0.82,1.04
2019,34,11.35,13.74,1.29,1.47,-0.18,1.37,1.31,0.05,-0.23,1.09,1.40
2017,34,12.32,12.03,1.15,1.65,-0.50,1.07,1.47,-0.41,-0.09,1.15,1.14
2016,34,12.53,13.97,1.56,1.74,-0.18,1.42,1.79,-0.37,0.19,1.21,1.20
2015,34,11.24,12.76,1.21,1.62,-0.41,1.23,1.36,-0.13,-0.28,1.29,1.31
2022,32,12.00,12.22,1.22,1.47,-0.25,1.16,1.34,-0.18,-0.07,1.41,1.24
2021,34,11.97,12.50,1.44,1.32,0.12,1.27,1.25,0.03,0.09,1.50,1.41
2020,23,11.57,13.22,1.70,1.04,0.65,1.31,1.13,0.19,0.47,1.78,1.52
2015,34,11.21,12.15,1.18,1.59,-0.41,1.14,1.38,-0.24,-0.18,1.09,1.25
2017,34,11.35,12.47,1.44,1.38,0.06,1.29,1.32,-0.03,0.09,1.24,1.31
2014,34,13.74,11.94,1.47,1.44,0.03,1.55,1.40,0.15,-0.12,1.24,1.51
2016,34,12.50,13.03,1.47,1.59,-0.12,1.39,1.33,0.06,-0.18,1.24,1.38
2013,34,13.50,12.76,1.24,1.26,-0.03,1.29,1.22,0.07,-0.10,1.35,1.43
2018,34,13.97,12.59,1.44,1.44,0.00,1.57,1.48,0.09,-0.09,1.47,1.48
2021,34,12.74,11.50,1.32,0.94,0.38,1.29,1.16,0.13,0.26,1.59,1.45
2019,34,13.97,11.59,1.68,1.44,0.24,1.70,1.39,0.32,-0.08,1.62,1.58
2022,33,13.12,12.97,2.00,0.79,1.21,1.76,1.16,0.60,0.61,1.94,1.69
2020,23,12.91,11.61,1.87,0.87,1.00,1.50,1.08,0.42,0.58,2.04,1.58
2016,34,13.21,14.47,1.41,1.50,-0.09,1.55,1.37,0.19,-0.27,1.29,1.47
2022,33,13.06,14.73,1.55,1.45,0.09,1.49,1.56,-0.08,0.17,1.39,1.32
2014,34,13.94,13.62,1.71,1.41,0.29,1.44,1.50,-0.06,0.35,1.44,1.34
2019,34,16.50,14.18,1.47,1.41,0.06,1.67,1.66,0.02,0.04,1.44,1.39
2017,34,14.12,12.29,1.74,1.44,0.29,1.55,1.22,0.33,-0.03,1.56,1.60
2015,34,14.29,11.91,1.21,1.15,0.06,1.33,1.06,0.27,-0.21,1.56,1.60
2018,34,13.71,13.29,1.53,1.32,0.21,1.57,1.40,0.17,0.03,1.59,1.49
2021,34,13.00,15.29,1.59,1.50,0.09,1.42,1.70,-0.28,0.37,1.62,1.16
2013,34,13.09,12.62,1.56,0.97,0.59,1.31,1.03,0.28,0.31,1.68,1.54
2020,23,11.26,14.43,2.00,1.52,0.48,1.35,1.53,-0.18,0.66,1.70,1.25
2020,22,12.59,10.41,1.05,1.50,-0.45,1.20,1.21,-0.01,-0.45,1.00,1.32
